Schulnummer,Schultyp,Name,Straße,PLZ,Ort,Link
"7507",Mittelschule,Kolping-Grundschule Aschaffenburg,Kolpingstr. 4,63739,Aschaffenburg,https://www.km.bayern.de/schule/7507
"7505",Mittelschule,Grünewald-Grundschule Aschaffenburg,Ludwigsallee 2,63739,Aschaffenburg,https://www.km.bayern.de/schule/7505
"7500",Mittelschule,Brentano-Grundschule Aschaffenburg,Brentanostr. 2,63739,Aschaffenburg,https://www.km.bayern.de/schule/7500
"7501",Mittelschule,Brentano-Mittelschule Aschaffenburg,Schweinheimer Str. 11,63739,Aschaffenburg,https://www.km.bayern.de/schule/7501
"0015",Gymnasium,Karl-Theodor-von-Dalberg-Gymnasium Aschaffenburg,Grünewaldstr. 18,63739,Aschaffenburg,https://www.km.bayern.de/schule/0015
"0013",Gymnasium,Kronberg-Gymnasium Aschaffenburg,Fasaneriestr. 33,63739,Aschaffenburg,https://www.km.bayern.de/schule/0013
"0016",Gymnasium,Maria-Ward-Schule Mädchengymnasium der Maria-Ward-Stiftung Aschaffenburg,Brentanoplatz 8,63739,Aschaffenburg,https://www.km.bayern.de/schule/0016
"7438",Berufsfachschule des Gesundheitswesens,Berufsfachschule für Altenpflegehilfe Aschaffenburg der Hans-Weinberger-Akademie der Arbeiterwohlfahrt,Berliner Allee 3,63739,Aschaffenburg,https://www.km.bayern.de/schule/7438
"0412",Realschule,Maria-Ward-Schule Aschaffenburg Mädchenrealschule der Maria-Ward-Stiftung Aschaffenburg,Brentanoplatz 8,63739,Aschaffenburg,https://www.km.bayern.de/schule/0412
"7001",Förderzentrum,Fröbel-Schule Aschaffenburg Förderzentrum Förderschwerpunkt Lernen,Friesenstr. 2,63739,Aschaffenburg,https://www.km.bayern.de/schule/7001
"7027",Förderzentrum,Comenius-Schule Förderzentrum Förderschwerpunkt geistige Entwicklung Aschaffenburg,Bessenbacher Weg 125,63739,Aschaffenburg,https://www.km.bayern.de/schule/7027
"7166",Berufsfachschulen f. Fremdsprachenberufe,Euro-Sprachenschule Aschaffenburg Private Berufsfachschule für Fremdsprachenberufe,Goldbacher Str. 6,63739,Aschaffenburg,https://www.km.bayern.de/schule/7166
"7150",Gewerbliche Fachschulen,Städtische Fachschule (Meisterschule) für Steinmetzen und Steinbildhauer Aschaffenburg,Schloßgasse 27,63739,Aschaffenburg,https://www.km.bayern.de/schule/7150
"7211",Berufsschule,Staatliche Berufsschule II Aschaffenburg,Seidelstr. 2,63741,Aschaffenburg,https://www.km.bayern.de/schule/7211
"7097",Wirtschaftsschule,Private Wirtschaftsschule Krauss Aschaffenburg,Erlenmeyerstr. 3 - 5,63741,Aschaffenburg,https://www.km.bayern.de/schule/7097
"7158",Berufsfachschule des Gesundheitswesens,Berufsfachschule für Ergotherapie Aschaffenburg des IB e.V. (IB),Erlenmeyerstr. 4 - 6,63741,Aschaffenburg,https://www.km.bayern.de/schule/7158
"7009",Berufsfachschule des Gesundheitswesens,Berufsfachschule für Physiotherapie Aschaffenburg des IB e.V. (IB),Erlenmeyerstr. 6,63741,Aschaffenburg,https://www.km.bayern.de/schule/7009
"7088",Berufsfachschule des Gesundheitswesens,Berufsfachschule für Logopädie Aschaffenburg des IB e.V. (IB),Erlenmeyerstr. 4 - 6,63741,Aschaffenburg,https://www.km.bayern.de/schule/7088
"7149",Hauswirtschaftliche und sozialberufliche Fachschulen,Fachschule für Heilerziehungspflege der bfz gemeinnützige GmbH in Aschaffenburg,Lange Str. 9-11,63741,Aschaffenburg,https://www.km.bayern.de/schule/7149
"7512",Mittelschule,Grundschule Aschaffenburg-Strietwald,Herrenwaldstr. 40,63741,Aschaffenburg,https://www.km.bayern.de/schule/7512
"7511",Mittelschule,Schiller-Grundschule Aschaffenburg,Schulstr. 39,63741,Aschaffenburg,https://www.km.bayern.de/schule/7511
"7508",Mittelschule,Christian-Schad-Grundschule Aschaffenburg-Nilkheim,Lindenweg 14,63741,Aschaffenburg,https://www.km.bayern.de/schule/7508
"7504",Mittelschule,Erthal-Grundschule Aschaffenburg,Friedrich-Krane-Platz 5,63741,Aschaffenburg,https://www.km.bayern.de/schule/7504
"7502",Mittelschule,Dalberg-Grundschule Aschaffenburg,Boppstr. 18,63741,Aschaffenburg,https://www.km.bayern.de/schule/7502
"7514",Mittelschule,Schönberg-Mittelschule Aschaffenburg,Wilhelmstr. 62,63741,Aschaffenburg,https://www.km.bayern.de/schule/7514
"7503",Mittelschule,Dalberg-Mittelschule Aschaffenburg,Boppstr. 18,63741,Aschaffenburg,https://www.km.bayern.de/schule/7503
"1080",Realschule,Ruth-Weiss-Realschule Aschaffenburg,Darmstädter Str. 2,63741,Aschaffenburg,https://www.km.bayern.de/schule/1080
"0854",Fachoberschule,Staatliche Fachoberschule Aschaffenburg,Ottostraße 3,63741,Aschaffenburg,https://www.km.bayern.de/schule/0854
"0578",Realschule,Priv. staatl. anerk. Realschule Krauß Priv. Schulen Krauß e.V. Aschaffenburg,Erlenmeyerstr. 3 - 5,63741,Aschaffenburg,https://www.km.bayern.de/schule/0578
"7077",Förderzentrum,Förderzentrum Förderschwerpunkt körperliche und motorische Entwicklung in Aschaffenburg,Schneidmühlweg 3,63741,Aschaffenburg,https://www.km.bayern.de/schule/7077
"0014",Gymnasium,Friedrich-Dessauer-Gymnasium Aschaffenburg,Stadtbadstr. 4,63741,Aschaffenburg,https://www.km.bayern.de/schule/0014
"0804",Berufsoberschule,Staatliche Berufsoberschule Aschaffenburg,Ottostraße 3,63741,Aschaffenburg,https://www.km.bayern.de/schule/0804
"7237",Berufsschule,Staatliche Berufsschule I Aschaffenburg,Seidelstr. 2,63741,Aschaffenburg,https://www.km.bayern.de/schule/7237
"7291",Berufsschule,Staatliche Berufsschule III Aschaffenburg,Seidelstr. 4,63741,Aschaffenburg,https://www.km.bayern.de/schule/7291
"7252",Kaufmännische Berufsfachschulen,Staatliche Berufsfachschule für informations-und telekommunikationstechnische Berufe Aschaffenburg,Seidelstr. 2,63741,Aschaffenburg,https://www.km.bayern.de/schule/7252
"7293",BFS hausw. gastgew. und soziale Berufe,Staatliche Berufsfachschule für Ernährung und Versorgung Aschaffenburg,Seidelstr. 4,63741,Aschaffenburg,https://www.km.bayern.de/schule/7293
"7292",BFS hausw. gastgew. und soziale Berufe,Staatliche Berufsfachschule für Kinderpflege Aschaffenburg,Seidelstr. 4,63741,Aschaffenburg,https://www.km.bayern.de/schule/7292
"7236",BFS hausw. gastgew. und soziale Berufe,Staatliche Berufsfachschule für Sozialpflege in Aschaffenburg,Seidelstr. 4,63741,Aschaffenburg,https://www.km.bayern.de/schule/7236
"7294",Berufsfachschule des Gesundheitswesens,BFS für Physiotherapie d.Hans-Weinberger-Akademie d.Arbeiterwohlfahrt e. V. in Aschaffenburg,Magnolienweg 16,63741,Aschaffenburg,https://www.km.bayern.de/schule/7294
"7106",Berufsfachschule des Gesundheitswesens,BFS für anästhesietech. Assistent/innen und operationstechn. Assistent/innen Aschaffenburg-Alz,Am Gemeindegraben 9,63741,Aschaffenburg,https://www.km.bayern.de/schule/7106
"7249",Fachakademie,Priv. Fachakademie für Sozialpädagogik der Caritas-Schulen gGmbH in Aschaffenburg,Friedrich-Fröbel-Str. 3,63741,Aschaffenburg,https://www.km.bayern.de/schule/7249
"7266",Gewerbliche Fachschulen,Staatl. Fachschule (Technikerschule) für Maschinenbau Aschaffenburg,Seidelstr. 2,63741,Aschaffenburg,https://www.km.bayern.de/schule/7266
"7317",Gewerbliche Fachschulen,Städt.Fachschule (Technikerschule) für Elektrotechn. (Energie-u.Automatisierungstechn.) Aschaffenburg,Seidelstr. 2,63741,Aschaffenburg,https://www.km.bayern.de/schule/7317
"7286",Hauswirtschaftliche und sozialberufliche Fachschulen,Fachschule für Heilerziehungspflegehilfe der bfz gemeinnützige GmbH in Aschaffenburg,Lange Str. 9-11,63741,Aschaffenburg,https://www.km.bayern.de/schule/7286
"7597",Mittelschule,Erich-Kästner-Grundschule Aschaffenburg-Gailbach,Glaserstr. 1,63743,Aschaffenburg,https://www.km.bayern.de/schule/7597
"7540",Mittelschule,Mozart-Grundschule Aschaffenburg-Obernau,Mozartstr. 4,63743,Aschaffenburg,https://www.km.bayern.de/schule/7540
"7521",Mittelschule,Hefner-Alteneck-Grundschule Aschaffenburg,Bavariastr. 39,63743,Aschaffenburg,https://www.km.bayern.de/schule/7521
"7509",Mittelschule,Pestalozzi-Grundschule Aschaffenburg,Matthäusstr. 18,63743,Aschaffenburg,https://www.km.bayern.de/schule/7509
"7510",Mittelschule,Pestalozzi-Mittelschule Aschaffenburg,Sonnenstr. 27,63743,Aschaffenburg,https://www.km.bayern.de/schule/7510
"7506",Mittelschule,Hefner-Alteneck-Mittelschule Aschaffenburg,Bavariastr. 39,63743,Aschaffenburg,https://www.km.bayern.de/schule/7506
"7219",Berufsschule zur sonderpädagogischen Förderung,Johannes-de-la-Salle-Schule Berufsschule zur sonderpäd. Förderung Aschaffenburg,Rhönstr. 21,63743,Aschaffenburg,https://www.km.bayern.de/schule/7219
"0407",Realschule,Edith-Stein-Schule Staatliche Realschule Alzenau,Edith-Stein-Str. 7,63755,Alzenau,https://www.km.bayern.de/schule/0407
"7000",Förderzentrum,Hahnenkamm-Schule Alzenau Förderzentrum Förderschwerpunkt Lernen,Schwedenstr. 2,63755,Alzenau,https://www.km.bayern.de/schule/7000
"7620",Mittelschule,Schule am Weinberg Grundschule Alzenau-Michelbach,Schulstr. 15,63755,Alzenau,https://www.km.bayern.de/schule/7620
"7609",Mittelschule,Grundschule Alzenau-Hörstein,Eichelsbacherstr. 8,63755,Alzenau,https://www.km.bayern.de/schule/7609
"7594",Mittelschule,Erich-Kästner-Grundschule Alzenau,Prischoßstr. 40,63755,Alzenau,https://www.km.bayern.de/schule/7594
"7643",Mittelschule,Karl-Amberg-Mittelschule Alzenau,Prischoßstr. 28,63755,Alzenau,https://www.km.bayern.de/schule/7643
"0003",Gymnasium,Spessart-Gymnasium Alzenau,Brentanostr. 55,63755,Alzenau,https://www.km.bayern.de/schule/0003
"7789",Mittelschule,Anne-Frank-Grundschule Großostheim-Ringheim,Hasselstr. 10,63762,Großostheim,https://www.km.bayern.de/schule/7789
"7638",Mittelschule,Astrid-Lindgren-Grundschule Großostheim-Wenigumstadt,Hamoirstr. 9,63762,Großostheim,https://www.km.bayern.de/schule/7638
"7627",Mittelschule,Grundschule Großostheim-Pflaumheim,St.-Luzia-Weg 1,63762,Großostheim,https://www.km.bayern.de/schule/7627
"7602",Mittelschule,Grundschule Großostheim,Mühlstr. 1,63762,Großostheim,https://www.km.bayern.de/schule/7602
"7603",Mittelschule,Mittelschule Großostheim,Dellweg 10,63762,Großostheim,https://www.km.bayern.de/schule/7603
"1071",Realschule,Staatl. Realschule Großostheim,Zur Welzbachhalle 1,63762,Großostheim,https://www.km.bayern.de/schule/1071
"0743",Realschule,Staatliche Realschule Hösbach,An der Maas 2,63768,Hösbach,https://www.km.bayern.de/schule/0743
"7224",Förderzentrum,Pestalozzi-Schule Hösbach Förderzentrum Förderschwerpunkt Lernen,Schöllkrippener Str. 56,63768,Hösbach,https://www.km.bayern.de/schule/7224
"7641",Mittelschule,Grundschule Hösbach-Winzenhohl,Ellerstr. 2 - 6,63768,Hösbach,https://www.km.bayern.de/schule/7641
"7629",Mittelschule,Grundschule am Klosterberg Hösbach-Rottenberg,Schulstr. 3,63768,Hösbach,https://www.km.bayern.de/schule/7629
"7610",Mittelschule,Astrid-Lindgren-Grundschule Hösbach,Jahnstr. 1 - 3,63768,Hösbach,https://www.km.bayern.de/schule/7610
"7611",Mittelschule,Mittelschule Hösbach,Jahnstr. 1 - 3,63768,Hösbach,https://www.km.bayern.de/schule/7611
"0393",Gymnasium,Hanns-Seidel-Gymnasium Hösbach,An der Maas 2,63768,Hösbach,https://www.km.bayern.de/schule/0393
"7280",Förderzentrum,Dr.Albert-Liebmann-Schule Förderzentrum Förderschwerpunkt Sprache in Hösbach,Schöllkrippener Str. 56,63768,Hösbach,https://www.km.bayern.de/schule/7280
"7600",Mittelschule,Grundschule Goldbach,Am Wingert 30,63773,Goldbach,https://www.km.bayern.de/schule/7600
"7601",Mittelschule,Mittelschule Goldbach,Am Wingert 28 - 30,63773,Goldbach,https://www.km.bayern.de/schule/7601
"7623",Mittelschule,Grundschule Mömbris-Gunzenbach,Hofackerstr. 24,63776,Mömbris,https://www.km.bayern.de/schule/7623
"7621",Mittelschule,Ivo-Zeiger-Grundschule Mömbris,Fronhofen 3,63776,Mömbris,https://www.km.bayern.de/schule/7621
"7622",Mittelschule,Mittelschule Mömbris am Glasberg,Kapellenweg 16,63776,Mömbris,https://www.km.bayern.de/schule/7622
"7590",Mittelschule,Johannes-Obernburger-Grundschule Obernburg a.Main,Oberer Neuer Weg 41,63785,Obernburg a.Main,https://www.km.bayern.de/schule/7590
"7821",Mittelschule,Johannes-Obernburger-Mittelschule Obernburg a.Main,Oberer Neuer Weg 41,63785,Obernburg a.Main,https://www.km.bayern.de/schule/7821
"7476",Kaufmännische Berufsfachschulen,Berufsfachschule für kaufm. Assistenten Obernburg a.Main des Landkreises Miltenberg,Berufsschulstr. 10,63785,Obernburg a.Main,https://www.km.bayern.de/schule/7476
"0594",Realschule,Main-Limes-Realschule Staatliche Realschule Obernburg,Dekaneistr. 2,63785,Obernburg a.Main,https://www.km.bayern.de/schule/0594
"0786",Berufsoberschule,Staatliche Berufsoberschule Obernburg a.Main,Dekaneistr. 5 - 9,63785,Obernburg a.Main,https://www.km.bayern.de/schule/0786
"0886",Fachoberschule,Staatliche Fachoberschule Obernburg a.Main,Dekaneistr. 5 - 9,63785,Obernburg a.Main,https://www.km.bayern.de/schule/0886
"7137",Wirtschaftsschule,Paul-Gerhardt-Schule Wirtschaftsschule Karlstein a.Main Christl.Schulverein Hanau u.Kahl e.V.,An der Waldschule 5,63791,Karlstein a.Main,https://www.km.bayern.de/schule/7137
"7596",Mittelschule,Grundschule Karlstein a.Main,Schulstr. 30,63791,Karlstein a.Main,https://www.km.bayern.de/schule/7596
"7613",Mittelschule,Kaldaha-Grundschule Kahl a.Main,Hauptstraße 19,63796,Kahl a.Main,https://www.km.bayern.de/schule/7613
"7570",Mittelschule,Paul-Gerhardt-Grundschule Kahl a. M. Evang. Schule des Christlichen Schulvereins Hanau und Kah,Freigerichter Str. 12,63796,Kahl a.Main,https://www.km.bayern.de/schule/7570
"7686",Mittelschule,Paul-Gerhardt-Mittelschule Kahl a.Main Evang. Schule des Christlichen Schulvereins Hanau und Kah,Freigerichter Str. 12,63796,Kahl a.Main,https://www.km.bayern.de/schule/7686
"7642",Mittelschule,Wilhelm-Emmanuel-von-Ketteler- Grundschule Kleinostheim,Schulstr. 3,63801,Kleinostheim,https://www.km.bayern.de/schule/7642
"7606",Mittelschule,Grundschule Haibach,Ringwallstraße 5,63808,Haibach,https://www.km.bayern.de/schule/7606
"7605",Mittelschule,Mittelschule Haibach,Ringwallstr. 5,63808,Haibach,https://www.km.bayern.de/schule/7605
"7634",Mittelschule,Grundschule Stockstadt a.Main,Schulstr. 6,63811,Stockstadt a.Main,https://www.km.bayern.de/schule/7634
"7635",Mittelschule,Mittelschule Stockstadt a.Main,Adalbert-Stifter-Straße 2,63811,Stockstadt a.Main,https://www.km.bayern.de/schule/7635
"7541",Mittelschule,Ascapha-Grundschule Mainaschaff,Schillerstr. 1,63814,Mainaschaff,https://www.km.bayern.de/schule/7541
"7618",Mittelschule,Ascapha-Mittelschule Mainaschaff,Schillerstr. 1,63814,Mainaschaff,https://www.km.bayern.de/schule/7618
"7801",Mittelschule,Mozart-Grundschule Elsenfeld,Mühlweg 41,63820,Elsenfeld,https://www.km.bayern.de/schule/7801
"7802",Mittelschule,Georg-Keimel-Mittelschule Elsenfeld,Mühlweg 22,63820,Elsenfeld,https://www.km.bayern.de/schule/7802
"0342",Gymnasium,Julius-Echter-Gymnasium Elsenfeld,Dammsfeldstr. 20,63820,Elsenfeld,https://www.km.bayern.de/schule/0342
"0703",Realschule,Staatliche Realschule Elsenfeld,Dammsfeldstr. 18,63820,Elsenfeld,https://www.km.bayern.de/schule/0703
"7017",Förderzentrum,Janusz-Korczak-Schule Elsenfeld Förderzentrum Förderschwerpunkt Lernen,Dammsfeldstr. 12,63820,Elsenfeld,https://www.km.bayern.de/schule/7017
"7230",Förderzentrum,Richard-Galmbacher-Schule Förderzentrum Förderschwerp. geistige Entwicklung in Elsenfeld,Dammsfeldstr. 14,63820,Elsenfeld,https://www.km.bayern.de/schule/7230
"7235",Förderzentrum,Elsava-Schule Elsenfeld Priv. Förderzentrum Förderschwerp. emot.u.soz. Entwicklung (HS-Stufe),Kloster Himmelthal 1,63820,Elsenfeld,https://www.km.bayern.de/schule/7235
"7633",Mittelschule,Grundschule Sommerkahl,Schulstr. 11,63825,Sommerkahl,https://www.km.bayern.de/schule/7633
"7632",Mittelschule,Grundschule Schöllkrippen,Obere Schulstr. 10,63825,Schöllkrippen,https://www.km.bayern.de/schule/7632
"7644",Mittelschule,Mittelschule Schöllkrippen,Obere Schulstr. 10,63825,Schöllkrippen,https://www.km.bayern.de/schule/7644
"7598",Mittelschule,Grundschule Krombach-Geiselbach,Schulstr. 6,63826,Geiselbach,https://www.km.bayern.de/schule/7598
"7586",Mittelschule,Herigoyen-Grundschule Sulzbach,Hollerweg 17,63834,Sulzbach a.Main,https://www.km.bayern.de/schule/7586
"7538",Mittelschule,Priv. Montessori-Volksschule Sulzbach (Grund-und Hauptschule),Sodentalstr. 28,63834,Sulzbach a.Main,https://www.km.bayern.de/schule/7538
"7823",Mittelschule,Herigoyen-Mittelschule Sulzbach,Hollerweg 17,63834,Sulzbach a.Main,https://www.km.bayern.de/schule/7823
"7584",Mittelschule,Josef-Anton-Rohe-Grundschule Kleinwallstadt,Weibersweg 22,63839,Kleinwallstadt,https://www.km.bayern.de/schule/7584
"7812",Mittelschule,Josef-Anton-Rohe-Mittelschule Kleinwallstadt,Weibersweg 22,63839,Kleinwallstadt,https://www.km.bayern.de/schule/7812
"7820",Mittelschule,Grundschule Niedernberg,Pfarrer-Seubert-Str. 9,63843,Niedernberg,https://www.km.bayern.de/schule/7820
"7534",Mittelschule,Grundschule Laufach,Friedrich-Wilhelm-Düker-Straße 8,63846,Laufach,https://www.km.bayern.de/schule/7534
"7617",Mittelschule,Mittelschule Laufach,Friedrich-Wilhelm-Düker-Straße  8,63846,Laufach,https://www.km.bayern.de/schule/7617
"7585",Mittelschule,Grundschule Leidersbach,Staudenweg 31,63849,Leidersbach,https://www.km.bayern.de/schule/7585
"7817",Mittelschule,Hans-Memling-Grundschule Mömlingen,Neue Schulstraße 20,63853,Mömlingen,https://www.km.bayern.de/schule/7817
"7625",Mittelschule,Grundschule Bessenbach,Ludwig-Straub-Str. 4,63856,Bessenbach,https://www.km.bayern.de/schule/7625
"0672",Realschule,Staatl. Realschule Bessenbach,Ludwig-Straub-Str. 11,63856,Bessenbach,https://www.km.bayern.de/schule/0672
"7536",Mittelschule,Grundschule Waldaschaff,Schulstr. 3,63857,Waldaschaff,https://www.km.bayern.de/schule/7536
"7636",Mittelschule,Mittelschule Waldaschaff,Schulstr. 3,63857,Waldaschaff,https://www.km.bayern.de/schule/7636
"7628",Mittelschule,Grundschule Rothenbuch,Schulstr. 7,63860,Rothenbuch,https://www.km.bayern.de/schule/7628
"7587",Mittelschule,Valentin-Pfeifer-Grundschule Eschau,Ludwig-Caps-Straße 4,63863,Eschau,https://www.km.bayern.de/schule/7587
"7805",Mittelschule,Valentin-Pfeifer-Mittelschule Eschau,Ludwig-Caps-Str. 4,63863,Eschau,https://www.km.bayern.de/schule/7805
"7543",Mittelschule,Grundschule Glattbach,Am Scharfen Eck 3,63864,Glattbach,https://www.km.bayern.de/schule/7543
"7612",Mittelschule,Mühlberg-Grundschule Johannesberg,Adam-Fell-Straße 5,63867,Johannesberg,https://www.km.bayern.de/schule/7612
"7588",Mittelschule,Kardinal-Döpfner-Grundschule Großwallstadt,Schulstr. 8,63868,Großwallstadt,https://www.km.bayern.de/schule/7588
"7808",Mittelschule,Kardinal-Döpfner-Mittelschule Großwallstadt-Niedernberg,Schulstr. 8,63868,Großwallstadt,https://www.km.bayern.de/schule/7808
"7607",Mittelschule,Grundschule Heigenbrücken,Schulstraße 12,63869,Heigenbrücken,https://www.km.bayern.de/schule/7607
"7522",Mittelschule,Grundschule Elsavatal Heimbuchenthal,Bergstraße 16,63872,Heimbuchenthal,https://www.km.bayern.de/schule/7522
"7608",Mittelschule,Mittelschule Elsavatal-Heimbuchenthal,Bergstraße 16,63872,Heimbuchenthal,https://www.km.bayern.de/schule/7608
"7640",Mittelschule,Grundschule Dammbach,Frühlingstr. 10,63874,Dammbach,https://www.km.bayern.de/schule/7640
"7619",Mittelschule,Grundschule Mespelbrunn,Maximilian-Kolbe-Straße 15,63875,Mespelbrunn,https://www.km.bayern.de/schule/7619
"7630",Mittelschule,Grundschule Sailauf,Kirchberg 3,63877,Sailauf,https://www.km.bayern.de/schule/7630
"7637",Mittelschule,Karl-Benz-Grundschule Weibersbrunn,Rothenbucher Weg 45,63879,Weibersbrunn,https://www.km.bayern.de/schule/7637
"7815",Mittelschule,Grundschule Miltenberg,Wolfram-von-Eschenbach-Str. 17,63897,Miltenberg,https://www.km.bayern.de/schule/7815
"7816",Mittelschule,Mittelschule Miltenberg,Luitpoldstraße 8,63897,Miltenberg,https://www.km.bayern.de/schule/7816
"0542",Realschule,Johannes-Hartung-Realschule Staatliche Realschule Miltenberg,Nikolaus-Fasel-Str. 12,63897,Miltenberg,https://www.km.bayern.de/schule/0542
"7015",Förderzentrum,Heinrich-Ernst-Stötzner-Schule Miltenberg Förderzentrum Förderschwerpunkt Lernen,Nikolaus-Fasel-Straße 10 a,63897,Miltenberg,https://www.km.bayern.de/schule/7015
"7058",Berufsschule,Staatliche Berufsschule Miltenberg-Obernburg,Gartenstr. 21,63897,Miltenberg,https://www.km.bayern.de/schule/7058
"0168",Gymnasium,Johannes-Butzbach-Gymnasium Miltenberg,Martin-Vierengel-Str. 4,63897,Miltenberg,https://www.km.bayern.de/schule/0168
"0076",Gymnasium,Hermann-Staudinger-Gymnasium Erlenbach a.Main,Elsenfelder Str. 55,63906,Erlenbach a.Main,https://www.km.bayern.de/schule/0076
"7339",Berufsfachschule des Gesundheitswesens,Berufsfachschule für Altenpflegehilfe in Erlenbach a.Main des BRK-Bezirksverbandes Unterfranken,Krankenhausstr. 50,63906,Erlenbach a.Main,https://www.km.bayern.de/schule/7339
"7804",Mittelschule,Dr.-Ernst-Hellmut-Vits-Grundschule Erlenbach a.Main,Dr.-Vits-Str. 10,63906,Erlenbach a.Main,https://www.km.bayern.de/schule/7804
"7803",Mittelschule,Barbarossa-Mittelschule Erlenbach a.Main,Elsenfelder Str. 53,63906,Erlenbach a.Main,https://www.km.bayern.de/schule/7803
"7591",Mittelschule,Dr.-Konrad-Wiegand-Grundschule Klingenberg a.Main,Furtwänglerweg 1,63911,Klingenberg a.Main,https://www.km.bayern.de/schule/7591
"7824",Mittelschule,Dr.-Konrad-Wiegand-Mittelschule Klingenberg a.Main,Furtwänglerweg 1,63911,Klingenberg a.Main,https://www.km.bayern.de/schule/7824
"7794",Mittelschule,Wolfram-von-Eschenbach-Grundschule Amorbach,Debonstr. 5,63916,Amorbach,https://www.km.bayern.de/schule/7794
"7795",Mittelschule,Parzival-Mittelschule Amorbach,Debonstr. 5a,63916,Amorbach,https://www.km.bayern.de/schule/7795
"0009",Gymnasium,Karl-Ernst-Gymnasium Amorbach,Richterstr. 1,63916,Amorbach,https://www.km.bayern.de/schule/0009
"0409",Realschule,Theresia-Gerhardinger-Realschule der Diözese Würzburg Amorbach,Richterstr. 4,63916,Amorbach,https://www.km.bayern.de/schule/0409
"7615",Mittelschule,Grundschule Großheubach,Bachgasse 44,63920,Großheubach,https://www.km.bayern.de/schule/7615
"7807",Mittelschule,Mittelschule Großheubach,Bachgasse 44,63920,Großheubach,https://www.km.bayern.de/schule/7807
"7639",Mittelschule,Grundschule Kleinheubach,Friedenstr. 4,63924,Kleinheubach,https://www.km.bayern.de/schule/7639
"7811",Mittelschule,Mittelschule Kleinheubach,Friedenstr. 4,63924,Kleinheubach,https://www.km.bayern.de/schule/7811
"7582",Mittelschule,Grundschule Bürgstadt,Jahnstr. 2a,63927,Bürgstadt,https://www.km.bayern.de/schule/7582
"7796",Mittelschule,Mittelschule Bürgstadt,Jahnstr. 2a,63927,Bürgstadt,https://www.km.bayern.de/schule/7796
"7799",Mittelschule,Erftal-Grundschule Eichenbühl,In den Rittern 2,63928,Eichenbühl,https://www.km.bayern.de/schule/7799
"7810",Mittelschule,Grundschule Kirchzell,Schulstr. 16,63931,Kirchzell,https://www.km.bayern.de/schule/7810
"7818",Mittelschule,Grundschule Mönchberg,Schulstr. 2,63933,Mönchberg,https://www.km.bayern.de/schule/7818
"7825",Mittelschule,Gotthard-Grundschule Weilbach,Raiffeisenstr. 5,63937,Weilbach,https://www.km.bayern.de/schule/7825
"7595",Mittelschule,Grundschule Wörth a.Main,Landstr. 50,63939,Wörth a.Main,https://www.km.bayern.de/schule/7595
"7826",Mittelschule,Mittelschule Wörth a.Main,Landstr. 50,63939,Wörth a.Main,https://www.km.bayern.de/schule/7826
"1856",Gewerbliche Fachschulen,Städtische Fachschule für Schnitt und Entwurf der Deutschen Meisterschule für Mode München,Roßmarkt 15,80331,München,https://www.km.bayern.de/schule/1856
"0547",Realschule,Städtische Salvator-Realschule München,Damenstiftstr. 3,80331,München,https://www.km.bayern.de/schule/0547
"2314",Mittelschule,Theresia-Gerhardinger-Grundschule am Anger der Armen Schulschwestern V.U.L.FR. München,Blumenstr. 26,80331,München,https://www.km.bayern.de/schule/2314
"2312",Mittelschule,Sinai-Grundschule d.Israelitischen Kultusgemeinde priv. staatl. anerk. jüdische Volksschule München,St.-Jakobs-Platz 18,80331,München,https://www.km.bayern.de/schule/2312
"0204",Gymnasium,Theresia-Gerhardinger-Gymnasium am Anger München,Blumenstr. 26,80331,München,https://www.km.bayern.de/schule/0204
"1602",Berufsschule,Städtische Berufsschule für das Bekleidungsgewerbe München,Roßmarkt 15,80331,München,https://www.km.bayern.de/schule/1602
"1718",Wirtschaftsschule,Städtische Friedrich-List- Wirtschaftsschule München,Westenriederstr. 20,80331,München,https://www.km.bayern.de/schule/1718
"1784",Gewerbliche Berufsfachschulen,Städtische Berufsfachschule für Kommunikations-und Modedesign der Deutschen Meisterschule für Mode Mün,Roßmarkt 15,80331,München,https://www.km.bayern.de/schule/1784
"1875",Sonstige Berufsfachschulen,Schöner Berufsfachschule für Kosmetik München Inh. C. Frankl,Altheimer Eck 10,80331,München,https://www.km.bayern.de/schule/1875
"1874",Gewerbliche Fachschulen,Fachschule für Modellistik der Städt. Deutschen Meisterschule für Mode München,Roßmarkt 15,80331,München,https://www.km.bayern.de/schule/1874
"2023",Berufsschule,Städtische Berufsschule für Lagerlogistik Groß-und Außenhandel München,Luisenstr. 29,80333,München,https://www.km.bayern.de/schule/2023
"1759",Gewerbliche Fachschulen,Städtische Meisterschule für das Holzbildhauerhandwerk München,Luisenstr. 9 - 11,80333,München,https://www.km.bayern.de/schule/1759
"1593",Gewerbliche Fachschulen,Meisterschule für d. Gold-u. Silberschmiedehandwerk Fachschule der Landeshauptstadt München,Luisenstr. 9 - 11,80333,München,https://www.km.bayern.de/schule/1593
"1589",Gewerbliche Fachschulen,Städtische Fachschule für Steintechnik München,Luisenstr. 9 - 11,80333,München,https://www.km.bayern.de/schule/1589
"1591",Gewerbliche Fachschulen,Städtische Fachschule für Bautechnik München,Luisenstr. 9 - 11,80333,München,https://www.km.bayern.de/schule/1591
