Schulnummer,Schultyp,Name,Straße,PLZ,Ort,Link
"2278",Mittelschule,Grundschule Winhöring,Neuöttinger Str. 4,84543,Winhöring,https://www.km.bayern.de/schule/2278
"2697",Mittelschule,Papst Benedikt XVI. Grundschule Aschau a.Inn,Schulstr. 1,84544,Aschau a.Inn,https://www.km.bayern.de/schule/2697
"1675",Berufsschule zur sonderpädagogischen Förderung,Don Bosco Berufsschule zur sonderpäd. Förderung Aschau am Inn Förderschw. k.m.Entw.,Waldwinkler Str. 1,84544,Aschau a.Inn,https://www.km.bayern.de/schule/1675
"2334",Mittelschule,Grundschule Emmerting-Mehring,Untere Dorfstr. 3,84547,Emmerting,https://www.km.bayern.de/schule/2334
"2917",Mittelschule,Grundschule Engelsberg,Raiffeisenplatz 6,84549,Engelsberg,https://www.km.bayern.de/schule/2917
"2340",Mittelschule,Grundschule Kastl,Schulstr. 3,84556,Kastl,https://www.km.bayern.de/schule/2340
"2060",Mittelschule,Grundschule Kirchweidach,Schulstr. 2,84558,Kirchweidach,https://www.km.bayern.de/schule/2060
"2341",Mittelschule,Mittelschule Kirchweidach,Schulstr. 2,84558,Kirchweidach,https://www.km.bayern.de/schule/2341
"2702",Mittelschule,Grundschule Kraiburg a.Inn,Jahnstr. 19,84559,Kraiburg a.Inn,https://www.km.bayern.de/schule/2702
"2704",Mittelschule,Grundschule Mettenheim,Schulstr. 3,84562,Mettenheim,https://www.km.bayern.de/schule/2704
"2712",Mittelschule,Grundschule Oberbergkirchen,Ziegelberg 4,84564,Oberbergkirchen,https://www.km.bayern.de/schule/2712
"2349",Mittelschule,Grundschule Reischach,Schulstr. 1,84567,Perach,https://www.km.bayern.de/schule/2349
"2347",Mittelschule,Grundschule Pleiskirchen,Schulstr. 10,84568,Pleiskirchen,https://www.km.bayern.de/schule/2347
"2714",Mittelschule,Grundschule Polling,Schillerstr. 4,84570,Polling,https://www.km.bayern.de/schule/2714
"2719",Mittelschule,Grundschule Taufkirchen  Oberneukirchen,Dorfstr. 13,84574,Taufkirchen,https://www.km.bayern.de/schule/2719
"2351",Mittelschule,Grundschule Teising,Hauptstr. 7,84576,Teising,https://www.km.bayern.de/schule/2351
"2355",Mittelschule,Priv. Maria-Ward-Grundschule Heiligenstatt Tüßling (staatlich anerkannt),Heiligenstatt 1,84577,Tüßling,https://www.km.bayern.de/schule/2355
"2354",Mittelschule,Mittelschule Tüßling,Burgkirchener Str. 5,84577,Tüßling,https://www.km.bayern.de/schule/2354
"1204",Mittelschule,Grundschule Tüßling,Burgkirchener Str. 5,84577,Tüßling,https://www.km.bayern.de/schule/1204
"2357",Mittelschule,Grundschule Unterneukirchen,Pfarrer-Edhofer-Str. 8,84579,Unterneukirchen,https://www.km.bayern.de/schule/2357
"1051",Freie Waldorfschule,Freie Schule Unterneukirchen priv. Grundschule u.Gymnasialst. d.Gem.Genossenschaft z.Förd.,Hilger 1a,84579,Unterneukirchen,https://www.km.bayern.de/schule/1051
"2114",Mittelschule,Mittelschule Ingolstadt-Friedrichshofen,Jurastr. 2,85049,Ingolstadt,https://www.km.bayern.de/schule/2114
"2101",Mittelschule,Mittelschule Ingolstadt Auf der Schanz,Auf der Schanz 28,85049,Ingolstadt,https://www.km.bayern.de/schule/2101
"1102",Gymnasium,Montessori-Gymnasium Ingolstadt d.Pädagogi. Zentr. Förderkreis + Haus Miteinander gGmbH,Johann-Michael-Sailer-Str. 7,85049,Ingolstadt,https://www.km.bayern.de/schule/1102
"9205",Landwirtschaftliche Fachschulen,Landwirtschaftsschule Ingolstadt,Auf der Schanz 43,85049,Ingolstadt,https://www.km.bayern.de/schule/9205
"1292",Fachakademie,EURO Fachakademie Ingolstadt Fachakademie für Sprachen u.int.Kommunikation d.EURO Schulvereins,Esplanade 36,85049,Ingolstadt,https://www.km.bayern.de/schule/1292
"0502",Realschule,Freiherr-von-Ickstatt-Schule Staatliche Realschule Ingolstadt I,Von-der-Tann-Str. 1,85049,Ingolstadt,https://www.km.bayern.de/schule/0502
"0503",Realschule,Gnadenthal-Mädchenrealschule Ingolstadt der Diözese Eichstätt,Kupferstr. 23,85049,Ingolstadt,https://www.km.bayern.de/schule/0503
"2042",Förderzentrum,Johann-Nepomuk-von-Kurz-Schule Förderzentr. mit Förderschwerpunkt körp.u.motor.EntwicklungIngolst.,Elbrachtstr. 20,85049,Ingolstadt,https://www.km.bayern.de/schule/2042
"2949",Mittelschule,Grundschule Ingolstadt-Friedrichshofen,Jurastr. 2,85049,Ingolstadt,https://www.km.bayern.de/schule/2949
"2123",Mittelschule,Private Montessorischule Ingolstadt staatlich genehmigte Grund- und Hauptschule,Johann-Michael-Sailer-Str. 7,85049,Ingolstadt,https://www.km.bayern.de/schule/2123
"2117",Mittelschule,Grundschule Ingolstadt-Irgertsheim,Fröbelstr. 4,85049,Ingolstadt,https://www.km.bayern.de/schule/2117
"2115",Mittelschule,Grundschule Ingolstadt-Gerolfing,Wolfsgartenstr. 2,85049,Ingolstadt,https://www.km.bayern.de/schule/2115
"2100",Mittelschule,Grundschule Ingolstadt Auf der Schanz,Auf der Schanz 28,85049,Ingolstadt,https://www.km.bayern.de/schule/2100
"1891",Berufsfachschulen f. Fremdsprachenberufe,EURO Fremdsprachenschule Ingolstadt Berufsfachsch.f.Fremdsprachenberufe,Esplanade 36,85049,Ingolstadt,https://www.km.bayern.de/schule/1891
"2026",Berufsfachschule des Gesundheitswesens,Berufsfachschule für Ergotherapie des Krankenhauszweckverbandes Ingolstadt am Klinikum,Krumenauerstr. 23,85049,Ingolstadt,https://www.km.bayern.de/schule/2026
"2025",Berufsfachschule des Gesundheitswesens,Berufsfachschule für Physiotherapie des Krankenhauszweckverbands Ingolstadt am Klinikum,Krumenauerstr. 23,85049,Ingolstadt,https://www.km.bayern.de/schule/2025
"2024",Berufsfachschule des Gesundheitswesens,Berufsfachschule für med.-techn. Radiologieassist. d. Krankenhauszweckverbands Ingolstadt am Klinikum,Krumenauerstr. 23,85049,Ingolstadt,https://www.km.bayern.de/schule/2024
